date,time,end_samsungsdi,end_samsungsds,end_samsungmulsan
2023/09/01,09:00:00,"141,400","141,400","105,700"
2023/09/01,09:05:00,"142,300","142,300","106,200"
2023/09/01,09:10:00,"142,200","142,200","106,200"
2023/09/01,09:15:00,"142,400","142,400","106,100"
2023/09/01,09:20:00,"142,300","142,300","106,700"
2023/09/01,09:25:00,"142,700","142,700","106,500"
2023/09/01,09:30:00,"143,100","143,100","107,300"
2023/09/01,09:35:00,"142,700","142,700","107,900"
2023/09/01,09:40:00,"143,400","143,400","108,000"
2023/09/01,09:45:00,"144,000","144,000","107,600"
2023/09/01,09:50:00,"143,500","143,500","107,400"
2023/09/01,09:55:00,"143,100","143,100","107,300"
2023/09/01,10:00:00,"143,500","143,500","107,500"
2023/09/01,10:05:00,"144,100","144,100","107,600"
2023/09/01,10:10:00,"144,000","144,000","107,400"
2023/09/01,10:15:00,"144,200","144,200","107,400"
2023/09/01,10:20:00,"144,100","144,100","107,400"
2023/09/01,10:25:00,"143,700","143,700","107,400"
2023/09/01,10:30:00,"143,300","143,300","107,200"
2023/09/01,10:35:00,"143,700","143,700","107,100"
2023/09/01,10:40:00,"144,000","144,000","107,100"
2023/09/01,10:45:00,"144,600","144,600","107,100"
2023/09/01,10:50:00,"144,600","144,600","107,400"
2023/09/01,10:55:00,"144,500","144,500","107,300"
2023/09/01,11:00:00,"145,000","145,000","107,200"
2023/09/01,11:05:00,"144,900","144,900","107,300"
2023/09/01,11:10:00,"144,600","144,600","107,200"
2023/09/01,11:15:00,"144,800","144,800","107,200"
2023/09/01,11:20:00,"144,600","144,600","107,100"
2023/09/01,11:25:00,"144,600","144,600","107,200"
2023/09/01,11:30:00,"144,400","144,400","107,200"
2023/09/01,11:35:00,"144,500","144,500","107,000"
2023/09/01,11:40:00,"144,300","144,300","107,000"
2023/09/01,11:45:00,"144,200","144,200","107,100"
2023/09/01,11:50:00,"144,000","144,000","107,100"
2023/09/01,11:55:00,"144,000","144,000","107,000"
2023/09/01,12:00:00,"144,100","144,100","106,900"
2023/09/01,12:05:00,"144,100","144,100","106,900"
2023/09/01,12:10:00,"144,100","144,100","107,100"
2023/09/01,12:15:00,"144,000","144,000","106,900"
2023/09/01,12:20:00,"144,200","144,200","106,900"
2023/09/01,12:25:00,"144,100","144,100","107,000"
2023/09/01,12:30:00,"143,900","143,900","107,200"
2023/09/01,12:35:00,"143,800","143,800","107,100"
2023/09/01,12:40:00,"143,900","143,900","107,100"
2023/09/01,12:45:00,"143,900","143,900","107,100"
2023/09/01,12:50:00,"143,800","143,800","107,100"
2023/09/01,12:55:00,"144,000","144,000","107,200"
2023/09/01,13:00:00,"144,000","144,000","106,900"
2023/09/01,13:05:00,"144,000","144,000","107,100"
2023/09/01,13:10:00,"143,900","143,900","107,100"
2023/09/01,13:15:00,"143,800","143,800","107,100"
2023/09/01,13:20:00,"143,800","143,800","107,100"
2023/09/01,13:25:00,"143,600","143,600","107,000"
2023/09/01,13:30:00,"143,900","143,900","107,000"
2023/09/01,13:35:00,"143,700","143,700","107,000"
2023/09/01,13:40:00,"143,600","143,600","107,100"
2023/09/01,13:45:00,"143,600","143,600","107,000"
2023/09/01,13:50:00,"143,300","143,300","107,000"
2023/09/01,13:55:00,"143,300","143,300","107,100"
2023/09/01,14:00:00,"143,200","143,200","107,100"
2023/09/01,14:05:00,"143,500","143,500","107,200"
2023/09/01,14:10:00,"143,600","143,600","107,100"
2023/09/01,14:15:00,"143,500","143,500","107,200"
2023/09/01,14:20:00,"143,500","143,500","107,300"
2023/09/01,14:25:00,"143,700","143,700","107,300"
2023/09/01,14:30:00,"143,700","143,700","107,400"
2023/09/01,14:35:00,"143,600","143,600","107,400"
2023/09/01,14:40:00,"143,800","143,800","107,500"
2023/09/01,14:45:00,"143,500","143,500","107,300"
2023/09/01,14:50:00,"143,600","143,600","107,200"
2023/09/01,14:55:00,"143,700","143,700","107,400"
2023/09/01,15:00:00,"143,800","143,800","107,200"
2023/09/01,15:05:00,"143,700","143,700","107,300"
2023/09/01,15:10:00,"143,700","143,700","107,200"
2023/09/01,15:15:00,"143,400","143,400","107,200"
2023/09/01,15:30:00,"143,100","143,100","107,100"
2023/09/01,15:35:00,"143,100","143,100","107,100"
2023/09/04,09:00:00,"142,500","142,500","106,600"
2023/09/04,09:05:00,"143,100","143,100","107,000"
2023/09/04,09:10:00,"142,800","142,800","106,700"
2023/09/04,09:15:00,"142,500","142,500","106,700"
2023/09/04,09:20:00,"142,600","142,600","106,800"
2023/09/04,09:25:00,"142,300","142,300","106,400"
2023/09/04,09:30:00,"143,000","143,000","106,600"
2023/09/04,09:35:00,"143,400","143,400","106,400"
