date,time,end_samsungsdi,end_samsungsds,end_samsungmulsan
2023/09/01,09:00:00,일십사만일천사백,일십사만일천사백,일십만오천칠백
2023/09/01,09:05:00,일십사만이천삼백,일십사만이천삼백,일십만육천이백
2023/09/01,09:10:00,일십사만이천이백,일십사만이천이백,일십만육천이백
2023/09/01,09:15:00,일십사만이천사백,일십사만이천사백,일십만육천일백
2023/09/01,09:20:00,일십사만이천삼백,일십사만이천삼백,일십만육천칠백
2023/09/01,09:25:00,일십사만이천칠백,일십사만이천칠백,일십만육천오백
2023/09/01,09:30:00,일십사만삼천일백,일십사만삼천일백,일십만칠천삼백
2023/09/01,09:35:00,일십사만이천칠백,일십사만이천칠백,일십만칠천구백
2023/09/01,09:40:00,일십사만삼천사백,일십사만삼천사백,일십만팔천
2023/09/01,09:45:00,일십사만사천,일십사만사천,일십만칠천육백
2023/09/01,09:50:00,일십사만삼천오백,일십사만삼천오백,일십만칠천사백
2023/09/01,09:55:00,일십사만삼천일백,일십사만삼천일백,일십만칠천삼백
2023/09/01,10:00:00,일십사만삼천오백,일십사만삼천오백,일십만칠천오백
2023/09/01,10:05:00,일십사만사천일백,일십사만사천일백,일십만칠천육백
2023/09/01,10:10:00,일십사만사천,일십사만사천,일십만칠천사백
2023/09/01,10:15:00,일십사만사천이백,일십사만사천이백,일십만칠천사백
2023/09/01,10:20:00,일십사만사천일백,일십사만사천일백,일십만칠천사백
2023/09/01,10:25:00,일십사만삼천칠백,일십사만삼천칠백,일십만칠천사백
2023/09/01,10:30:00,일십사만삼천삼백,일십사만삼천삼백,일십만칠천이백
2023/09/01,10:35:00,일십사만삼천칠백,일십사만삼천칠백,일십만칠천일백
2023/09/01,10:40:00,일십사만사천,일십사만사천,일십만칠천일백
2023/09/01,10:45:00,일십사만사천육백,일십사만사천육백,일십만칠천일백
2023/09/01,10:50:00,일십사만사천육백,일십사만사천육백,일십만칠천사백
2023/09/01,10:55:00,일십사만사천오백,일십사만사천오백,일십만칠천삼백
2023/09/01,11:00:00,일십사만오천,일십사만오천,일십만칠천이백
2023/09/01,11:05:00,일십사만사천구백,일십사만사천구백,일십만칠천삼백
2023/09/01,11:10:00,일십사만사천육백,일십사만사천육백,일십만칠천이백
2023/09/01,11:15:00,일십사만사천팔백,일십사만사천팔백,일십만칠천이백
2023/09/01,11:20:00,일십사만사천육백,일십사만사천육백,일십만칠천일백
2023/09/01,11:25:00,일십사만사천육백,일십사만사천육백,일십만칠천이백
2023/09/01,11:30:00,일십사만사천사백,일십사만사천사백,일십만칠천이백
2023/09/01,11:35:00,일십사만사천오백,일십사만사천오백,일십만칠천
2023/09/01,11:40:00,일십사만사천삼백,일십사만사천삼백,일십만칠천
2023/09/01,11:45:00,일십사만사천이백,일십사만사천이백,일십만칠천일백
2023/09/01,11:50:00,일십사만사천,일십사만사천,일십만칠천일백
2023/09/01,11:55:00,일십사만사천,일십사만사천,일십만칠천
2023/09/01,12:00:00,일십사만사천일백,일십사만사천일백,일십만육천구백
2023/09/01,12:05:00,일십사만사천일백,일십사만사천일백,일십만육천구백
2023/09/01,12:10:00,일십사만사천일백,일십사만사천일백,일십만칠천일백
2023/09/01,12:15:00,일십사만사천,일십사만사천,일십만육천구백
2023/09/01,12:20:00,일십사만사천이백,일십사만사천이백,일십만육천구백
2023/09/01,12:25:00,일십사만사천일백,일십사만사천일백,일십만칠천
2023/09/01,12:30:00,일십사만삼천구백,일십사만삼천구백,일십만칠천이백
2023/09/01,12:35:00,일십사만삼천팔백,일십사만삼천팔백,일십만칠천일백
2023/09/01,12:40:00,일십사만삼천구백,일십사만삼천구백,일십만칠천일백
2023/09/01,12:45:00,일십사만삼천구백,일십사만삼천구백,일십만칠천일백
2023/09/01,12:50:00,일십사만삼천팔백,일십사만삼천팔백,일십만칠천일백
2023/09/01,12:55:00,일십사만사천,일십사만사천,일십만칠천이백
2023/09/01,13:00:00,일십사만사천,일십사만사천,일십만육천구백
2023/09/01,13:05:00,일십사만사천,일십사만사천,일십만칠천일백
2023/09/01,13:10:00,일십사만삼천구백,일십사만삼천구백,일십만칠천일백
2023/09/01,13:15:00,일십사만삼천팔백,일십사만삼천팔백,일십만칠천일백
2023/09/01,13:20:00,일십사만삼천팔백,일십사만삼천팔백,일십만칠천일백
2023/09/01,13:25:00,일십사만삼천육백,일십사만삼천육백,일십만칠천
2023/09/01,13:30:00,일십사만삼천구백,일십사만삼천구백,일십만칠천
2023/09/01,13:35:00,일십사만삼천칠백,일십사만삼천칠백,일십만칠천
2023/09/01,13:40:00,일십사만삼천육백,일십사만삼천육백,일십만칠천일백
2023/09/01,13:45:00,일십사만삼천육백,일십사만삼천육백,일십만칠천
2023/09/01,13:50:00,일십사만삼천삼백,일십사만삼천삼백,일십만칠천
2023/09/01,13:55:00,일십사만삼천삼백,일십사만삼천삼백,일십만칠천일백
2023/09/01,14:00:00,일십사만삼천이백,일십사만삼천이백,일십만칠천일백
2023/09/01,14:05:00,일십사만삼천오백,일십사만삼천오백,일십만칠천이백
2023/09/01,14:10:00,일십사만삼천육백,일십사만삼천육백,일십만칠천일백
2023/09/01,14:15:00,일십사만삼천오백,일십사만삼천오백,일십만칠천이백
